Month,CrudeStocks
2005-10,297380.75
2005-11,304946.75
2005-12,305568.2
2006-01,303965.0
2006-02,309132.75
2006-03,323092.8
2006-04,329308.25
2006-05,329467.0
2006-06,328665.2
2006-07,318843.75
2006-08,315473.5
2006-09,311102.4
2006-10,316772.0
2006-11,321826.75
2006-12,312525.6
2007-01,303611.5
2007-02,308953.5
2007-03,310643.4
2007-04,316802.75
2007-05,325231.25
2007-06,330688.8
2007-07,332823.5
2007-08,318137.6
2007-09,303878.0
2007-10,300595.5
2007-11,294362.2
2007-12,278453.0
2008-01,270592.5
2008-02,286396.4
2008-03,296158.0
2008-04,298921.5
2008-05,300519.0
2008-06,283653.5
2008-07,277966.75
2008-08,284293.8
2008-09,276045.5
2008-10,291710.0
2008-11,299119.25
2008-12,302149.5
2009-01,315732.4
2009-02,332552.75
2009-03,336642.5
2009-04,349523.0
2009-05,350304.8
2009-06,337431.5
2009-07,328149.8
2009-08,327665.25
2009-09,318124.75
2009-10,319911.4
2009-11,319976.0
2009-12,312465.25
2010-01,308210.8
2010-02,315416.25
2010-03,327313.75
2010-04,336243.0
2010-05,342737.0
2010-06,342680.25
2010-07,336098.0
2010-08,336686.75
2010-09,337836.5
2010-10,342646.2
2010-11,339165.5
2010-12,322105.6
2011-01,316555.25
2011-02,324369.0
2011-03,330209.5
2011-04,338591.0
2011-05,349066.25
2011-06,342393.25
2011-07,332905.0
2011-08,331194.5
2011-09,321211.4
2011-10,314852.25
2011-11,312900.5
2011-12,307738.8
2012-01,309300.25
2012-02,315370.25
2012-03,325457.4
2012-04,344968.0
2012-05,357930.75
2012-06,359457.6
2012-07,351334.25
2012-08,337643.6
2012-09,337531.0
2012-10,344173.75
2012-11,347231.4
2012-12,341113.0
2013-01,335311.0
2013-02,346048.0
2013-03,355997.6
2013-04,361220.75
2013-05,366023.6
2013-06,362836.0
2013-07,338944.75
2013-08,332419.8
2013-09,330400.5
2013-10,348118.0
2013-11,358396.2
2013-12,339051.0
2014-01,323861.0
2014-02,331104.0
2014-03,345435.25
2014-04,362037.25
2014-05,362402.6
2014-06,354869.0
2014-07,342269.5
2014-08,331594.4
2014-09,327705.5
2014-10,342701.4
2014-11,348156.75
2014-12,350872.75
2015-01,363976.0
2015-02,396376.25
2015-03,427918.0
2015-04,453767.5
2015-05,449211.4
2015-06,434569.5
2015-07,429155.4
2015-08,422227.75
2015-09,424510.25
2015-10,441814.2
2015-11,455785.75
2015-12,454872.5
2016-01,458442.2
2016-02,476630.75
2016-03,497084.0
2016-04,506509.6
2016-05,507015.0
2016-06,499672.5
2016-07,491227.0
2016-08,492907.5
2016-09,475209.8
2016-10,473351.25
2016-11,488117.0
2016-12,483894.6
2017-01,487905.75
2017-02,516394.5
2017-03,531835.8
2017-04,530548.5
2017-05,517387.25
2017-06,509195.0
2017-07,487819.0
2017-08,465716.75
2017-09,467875.0
2017-10,457737.0
2017-11,456748.75
2017-12,436785.0
2018-01,415527.75
2018-02,421581.5
2018-03,428084.2
2018-04,430474.25
2018-05,434689.0
2018-06,426013.8
2018-07,407502.25
2018-08,407444.6
2018-09,397571.0
2018-10,418795.75
2018-11,442879.8
2018-12,441560.0
2019-01,441940.5
2019-02,449606.0
2019-03,446658.6
2019-04,460726.0
2019-05,475034.2
2019-06,476475.25
2019-07,449113.5
2019-08,433589.8
2019-09,418843.5
2019-10,433105.75
2019-11,449042.2
2019-12,441501.5
2020-01,430868.0
2020-02,443201.25
2020-03,457518.25
2020-04,508564.75
2020-05,531391.6
2020-06,537898.5
2020-07,530402.8
2020-08,508175.0
2020-09,495827.75
2020-10,489399.8
2020-11,488736.0
2020-12,499082.5
2021-01,481309.0
2021-02,469604.5
2021-03,500937.0
2021-04,492395.4
2021-05,483580.25
2021-06,463026.25
2021-07,439513.2
2021-08,433070.0
2021-09,418454.5
2021-10,427864.0
2021-11,433809.5
2021-12,424514.6
2022-01,414611.0
2022-02,412835.5
2022-03,412704.5
2022-04,415601.6
2022-05,419892.0
2022-06,417341.5
2022-07,425220.4
2022-08,424245.5
2022-09,429472.0
2022-10,438303.5
2022-11,431714.75
2022-12,419171.8
2023-01,447214.5
2023-02,471438.25
2023-03,476679.8
2023-04,464266.0
2023-05,461258.25
2023-06,459098.8
2023-07,453034.75
2023-08,435439.0
2023-09,417207.0
2023-10,421750.0
2023-11,443208.5
2023-12,439423.8
2024-01,426226.0
2024-02,439252.25
2024-03,448038.0
2024-04,457941.5
2024-05,457200.8
2024-06,456498.0
2024-07,438714.0
2024-08,425904.2
2024-09,416657.25
2024-10,423706.0
2024-11,427904.0
2024-12,418836.5
2025-01,415580.2
2025-02,431072.25
2025-03,436402.5
2025-04,442179.25
2025-05,439957.2
2025-06,421853.5
2025-07,423466.75
2025-08,422008.6
2025-09,417826.75
2025-10,420800.8
2025-11,426542.0
2025-12,424454.5
2026-01,422321.0
2026-02,430931.75
2026-03,452545.75
2026-04,463436.25
2026-05,446093.8
2026-06,416300.0
