Date,GPR,GPR_change
1985-01-31,102.173377990723,
1985-02-28,117.102020263672,14.928642272949006
1985-03-31,124.77815246582,7.676132202147997
1985-04-30,87.9290008544922,-36.8491516113278
1985-05-31,103.262847900391,15.333847045898793
1985-06-30,148.782821655273,45.51997375488202
1985-07-31,133.905426025391,-14.877395629882017
1985-08-31,82.7841033935547,-51.12132263183629
1985-09-30,102.434494018555,19.6503906250003
1985-10-31,105.991912841797,3.5574188232420028
1985-11-30,94.8481826782227,-11.143730163574304
1985-12-31,96.4211654663086,1.5729827880858949
1986-01-31,135.360748291016,38.9395828247074
1986-02-28,98.7500305175781,-36.6107177734379
1986-03-31,98.6766738891602,-0.0733566284178977
1986-04-30,148.313858032227,49.63718414306679
1986-05-31,117.38924407959,-30.92461395263699
1986-06-30,96.2942504882813,-21.094993591308693
1986-07-31,94.701789855957,-1.592460632324304
1986-08-31,103.34593963623,8.644149780272997
1986-09-30,117.107887268066,13.761947631835994
1986-10-31,96.7924346923828,-20.315452575683196
1986-11-30,109.772819519043,12.980384826660199
1986-12-31,89.753776550293,-20.01904296875
1987-01-31,96.9428176879883,7.189041137695298
1987-02-28,100.683349609375,3.7405319213867045
1987-03-31,89.6077194213867,-11.075630187988295
1987-04-30,113.394081115723,23.786361694336293
1987-05-31,98.6509170532227,-14.743164062500298
1987-06-30,94.1824035644531,-4.468513488769602
1987-07-31,98.8719635009766,4.6895599365235086
1987-08-31,99.9684448242188,1.0964813232422017
1987-09-30,121.16707611084,21.198631286621193
1987-10-31,101.058586120605,-20.108489990235
1987-11-30,96.1534881591797,-4.905097961425298
1987-12-31,109.856384277344,13.702896118164304
1988-01-31,83.201530456543,-26.65485382080101
1988-02-29,86.2061462402344,3.0046157836914062
1988-03-31,110.206512451172,24.0003662109376
1988-04-30,119.45051574707,9.244003295897997
1988-05-31,104.873474121094,-14.577041625975994
1988-06-30,79.708122253418,-25.16535186767601
1988-07-31,83.4304809570313,3.7223587036133097
1988-08-31,84.0541610717773,0.6236801147459943
1988-09-30,74.842658996582,-9.211502075195298
1988-10-31,73.4502334594727,-1.392425537109304
1988-11-30,68.7984161376953,-4.651817321777401
1988-12-31,90.3987197875977,21.6003036499024
1989-01-31,89.2465896606445,-1.152130126953196
1989-02-28,91.6185531616211,2.371963500976591
1989-03-31,87.733772277832,-3.884780883789091
1989-04-30,83.5790939331055,-4.154678344726506
1989-05-31,103.828506469727,20.249412536621506
1989-06-30,89.461555480957,-14.36695098877
1989-07-31,84.7531051635742,-4.708450317382798
1989-08-31,109.177291870117,24.424186706542798
1989-09-30,85.5458450317383,-23.631446838378707
1989-10-31,69.5246734619141,-16.02117156982419
1989-11-30,92.8287124633789,23.3040390014648
1989-12-31,112.553527832031,19.724815368652088
1990-01-31,81.5440444946289,-31.009483337402088
1990-02-28,77.4072113037109,-4.136833190918011
1990-03-31,67.5919418334961,-9.815269470214801
1990-04-30,81.6438446044922,14.051902770996108
1990-05-31,86.4071197509766,4.763275146484403
1990-06-30,79.6811065673828,-6.726013183593807
1990-07-31,85.7874298095703,6.1063232421875
1990-08-31,250.451080322266,164.6636505126957
1990-09-30,188.660537719727,-61.790542602539006
1990-10-31,143.852569580078,-44.80796813964898
1990-11-30,158.743545532227,14.890975952148978
