Date,SPY,FEZ,EWJ,EEM,IEF,TLT,TIP,GLD,DBC,DBA,IYR
2005-01-09,118.44000244140625,38.970001220703125,42.15999984741211,21.274444580078125,84.73999786376953,88.54000091552734,104.83000183105469,41.84000015258789,,,58.244998931884766
2005-01-16,118.23999786376953,38.75,43.400001525878906,21.816667556762695,85.31999969482422,90.16999816894531,105.6500015258789,42.31999969482422,,,58.220001220703125
2005-01-23,116.77999877929688,38.25,42.36000061035156,21.5,85.66000366210938,91.01000213623047,105.75,42.7400016784668,,,58.724998474121094
2005-01-30,117.43000030517578,38.66999816894531,42.36000061035156,22.018888473510742,85.66000366210938,91.44999694824219,105.76000213623047,42.689998626708984,,,56.709999084472656
2005-02-06,120.2300033569336,39.77000045776367,42.31999969482422,22.899999618530273,85.68000030517578,92.6500015258789,105.80000305175781,41.470001220703125,,,58.5
2005-02-13,120.7699966430664,39.90999984741211,42.400001525878906,23.27777862548828,85.69999694824219,92.79000091552734,106.68000030517578,42.08000183105469,,,59.29999923706055
2005-02-20,120.38999938964844,40.5,42.599998474121094,23.676666259765625,84.75,90.86000061035156,106.0,42.75,,,59.25
2005-02-27,121.43000030517578,41.099998474121094,42.79999923706055,24.510000228881836,84.80999755859375,91.0,105.6500015258789,43.5,,,58.625
2005-03-06,122.7300033569336,41.599998474121094,43.91999816894531,24.488889694213867,84.3499984741211,90.51000213623047,105.8499984741211,43.380001068115234,,,59.82500076293945
2005-03-13,120.38999938964844,41.47999954223633,44.20000076293945,23.953332901000977,83.12999725341797,88.43000030517578,104.5,44.43000030517578,,,57.654998779296875
2005-03-20,118.54000091552734,40.790000915527344,43.720001220703125,23.294443130493164,83.47000122070312,88.66999816894531,105.16000366210938,43.88999938964844,,,57.935001373291016
2005-03-27,117.13999938964844,40.0,42.84000015258789,22.22333335876465,83.0199966430664,88.2699966430664,104.30000305175781,42.38999938964844,,,55.70500183105469
2005-04-03,117.43000030517578,39.400001525878906,41.84000015258789,22.666667938232422,83.58000183105469,89.30000305175781,105.16999816894531,42.619998931884766,,,56.25
2005-04-10,118.0,40.0,42.31999969482422,23.14444351196289,83.56999969482422,88.94999694824219,104.75,42.689998626708984,,,55.775001525878906
2005-04-17,114.1500015258789,38.7400016784668,40.279998779296875,21.700000762939453,85.06999969482422,91.08999633789062,106.30000305175781,42.400001525878906,,,56.779998779296875
2005-04-24,115.56999969482422,39.099998474121094,40.52000045776367,22.177778244018555,85.08000183105469,91.47000122070312,106.95999908447266,43.38999938964844,,,57.46500015258789
2005-05-01,115.75,38.150001525878906,41.0,22.252222061157227,85.51000213623047,92.44000244140625,106.9000015258789,43.349998474121094,,,59.255001068115234
2005-05-08,117.08999633789062,39.11000061035156,41.880001068115234,23.172222137451172,85.08000183105469,91.05999755859375,105.98999786376953,42.52000045776367,,,59.6150016784668
2005-05-15,115.72000122070312,38.13999938964844,40.279998779296875,22.158889770507812,85.77999877929688,92.80000305175781,106.5199966430664,41.95000076293945,,,59.54999923706055
2005-05-22,119.12000274658203,38.900001525878906,40.2400016784668,22.899999618530273,85.91000366210938,93.44000244140625,106.83000183105469,41.650001525878906,,,62.32500076293945
2005-05-29,120.25,39.349998474121094,40.63999938964844,23.155555725097656,86.36000061035156,93.83999633789062,106.81999969482422,41.880001068115234,,,61.0
2005-06-05,120.1500015258789,38.52000045776367,40.68000030517578,23.282222747802734,86.55000305175781,95.25,107.05000305175781,42.16999816894531,,,61.939998626708984
2005-06-12,120.19999694824219,38.720001220703125,40.720001220703125,23.5,86.2699966430664,94.88999938964844,106.22000122070312,42.619998931884766,,,63.34000015258789
2005-06-19,121.36000061035156,39.650001525878906,41.400001525878906,24.3700008392334,86.08000183105469,94.33000183105469,106.16000366210938,43.630001068115234,,,65.04000091552734
2005-06-26,118.9800033569336,38.20000076293945,40.880001068115234,23.75,86.98999786376953,96.38999938964844,107.0,43.900001525878906,,,62.81999969482422
2005-07-03,119.52999877929688,38.36000061035156,40.560001373291016,23.953332901000977,85.94999694824219,95.19999694824219,105.83999633789062,42.70000076293945,,,64.1500015258789
2005-07-10,121.31999969482422,38.90999984741211,40.91999816894531,24.26333236694336,85.66999816894531,94.62999725341797,105.04000091552734,42.2599983215332,,,65.75
2005-07-17,122.83999633789062,39.709999084472656,40.880001068115234,24.916667938232422,85.23999786376953,93.97000122070312,103.94999694824219,42.04999923706055,,,65.30000305175781
2005-07-24,123.54000091552734,40.0099983215332,41.040000915527344,25.34000015258789,85.1500015258789,93.55000305175781,104.25,42.45000076293945,,,66.19000244140625
2005-07-31,123.73999786376953,40.380001068115234,41.0,25.700000762939453,84.80000305175781,93.11000061035156,103.91000366210938,42.81999969482422,,,67.80000305175781
2005-08-07,122.87999725341797,40.56999969482422,40.68000030517578,25.799999237060547,83.9800033569336,91.66000366210938,102.80000305175781,43.599998474121094,,,64.5999984741211
2005-08-14,123.05999755859375,41.599998474121094,43.79999923706055,26.350000381469727,84.66000366210938,93.30999755859375,103.58999633789062,44.4900016784668,,,64.04000091552734
2005-08-21,122.47000122070312,40.54999923706055,43.68000030517578,25.510000228881836,85.0199966430664,93.77999877929688,104.1500015258789,43.599998474121094,,,63.52000045776367
2005-08-28,120.76000213623047,39.709999084472656,44.2400016784668,25.5,85.19999694824219,94.47000122070312,104.55999755859375,43.61000061035156,,,63.77000045776367
2005-09-04,122.2699966430664,41.119998931884766,45.2400016784668,26.633333206176758,86.05000305175781,95.16000366210938,105.75,44.25,,,65.19999694824219
