driver,type,chi2,p_value,cramers_v,mutual_info,n,significant_5pct
Dollar index return,contemporaneous,20.225365234248617,0.0004507509524125588,0.20569997464646847,0.04290223318646437,239,True
Dollar index return (lag 1),predictive,2.489576585436271,0.6465032345219723,0.07232014180420557,0.005177852805040267,238,False
VIX change,contemporaneous,4.788238727834713,0.3097235886961025,0.10008614205917918,0.010668246748765445,239,False
VIX change (lag 1),predictive,10.755473719290489,0.02945405906318097,0.15031810610741314,0.022216863184498697,238,True
Crude inventory change,contemporaneous,4.080450897768019,0.3952274822584585,0.09239322569499563,0.00849891322281332,239,False
Crude inventory change (lag 1),predictive,7.0082239384561715,0.13545426561851054,0.12133902725245406,0.014399759792956685,238,False
