driver,type,chi2,p_value,cramers_v,mutual_info,n
Brent_ret (contemp.),contemporaneous,390.7524040607883,2.7687415579674155e-83,0.6454303898365089,0.48396957692522524,469
Spread,contemporaneous,1.0359916506413311,0.9042902505831512,0.03319817430639842,0.00110028339692686,470
VIX_lag1,predictive,209.8242600569915,2.898588375981449e-44,0.46509533448729296,0.2477215346389809,485
USD_ret_lag1,predictive,54.667598795950056,3.814051622108815e-11,0.23764425544198728,0.05832126281594317,484
INV_chg_lag1,predictive,20.451489078623865,0.00040665931814074847,0.14535326402325727,0.021062552179967456,484
vol_6m,predictive,8.455167979061844,0.07625786124792332,0.09384810410901272,0.00839982027814358,480
WTI_lag1,predictive,7.630102001213845,0.10610730735604026,0.08878252518437103,0.007915481152371742,484
